nt,t (s),enstrophy (m^3/s^2)
323,8.266290920388501,210.3856305541002
324,8.291883152340167,211.33838643447703
325,8.317475384291834,212.30312650465495
326,8.3430676162435,213.26809001054318
327,8.368659848195167,214.32955524498033
328,8.394252080146833,215.45570449235396
329,8.4198443120985,216.56909099991907
330,8.445436544050166,217.6211771304805
331,8.471028776001832,218.68768923107032
332,8.496621007953499,219.8606780779996
333,8.522213239905165,221.01980387741165
334,8.547805471856831,222.1335589448695
335,8.573397703808498,223.25734594539767
336,8.598989935760164,224.5376178143815
337,8.62458216771183,225.94181695171758
338,8.650174399663497,227.27328599945963
339,8.675766631615163,228.52836039213548
340,8.70135886356683,229.66840646664627
341,8.726951095518496,230.79176367275005
342,8.752543327470162,231.99840991772558
343,8.778135559421829,233.34506592557514
344,8.803727791373495,234.80475796773342
345,8.829320023325161,236.10547447870636
346,8.854912255276828,237.23916533104432
347,8.880504487228494,238.50866692391068
348,8.90609671918016,239.9852231412789
349,8.931688951131827,241.51330530916053
350,8.957281183083493,243.00748103569276
351,8.98287341503516,244.54790251886723
352,9.008465646986826,246.17496966417724
353,9.034057878938492,247.93491427579104
354,9.059650110890159,249.70708639295984
355,9.085242342841825,251.43055485255772
356,9.110834574793492,253.17915758184418
357,9.136426806745158,255.00665149592754
358,9.162019038696824,256.7686006181618
359,9.18761127064849,258.4094759428574
360,9.213203502600157,260.06827042567113
361,9.238795734551823,261.99455078858773
362,9.26438796650349,264.1052480539106
363,9.289980198455156,266.2216251027861
364,9.315572430406823,268.2526785435913
365,9.341164662358489,270.3052845146513
366,9.366756894310155,272.425636190087
367,9.392349126261822,274.70110731034816
368,9.417941358213488,277.1198390195504
369,9.443533590165154,279.5631707620261
370,9.46912582211682,281.9698701287818
371,9.494718054068487,284.3817483474902
372,9.520310286020154,286.82962675757676
373,9.54590251797182,289.6234286331398
374,9.571494749923486,292.5042343806276
375,9.597086981875153,295.266077063594
376,9.62267921382682,298.0432674302756
377,9.648271445778485,301.12097894444327
378,9.673863677730152,304.3000464315823
379,9.699455909681818,307.4922161760898
380,9.725048141633485,310.58519971043717
381,9.750640373585151,313.6659601032105
382,9.776232605536817,317.0586676166338
383,9.801824837488484,320.53797191077075
384,9.82741706944015,323.9811937484365
385,9.853009301391817,327.30738167297517
386,9.878601533343483,330.56820694189025
387,9.90419376529515,333.78422848779235
388,9.929785997246816,337.1380708180367
389,9.955378229198482,340.3996484100778
390,9.980970461150148,343.47163678080324
391,10.006562693101815,346.6951993766269
392,10.032154925053481,349.7083009706197
393,10.057747157005148,352.76541292086426
394,10.083339388956814,355.8932592167464
395,10.10893162090848,358.72048053512464
396,10.134523852860147,361.42251890926116
397,10.160116084811813,363.92710827697914
398,10.18570831676348,366.4514255422446
399,10.211300548715146,368.9516176023418
400,10.236892780666812,371.2544312301166
401,10.262485012618479,373.4994575789283
402,10.288077244570145,375.6039665585703
403,10.313669476521811,377.50630065339783
404,10.339261708473478,379.27312941179986
405,10.364853940425144,381.0779500774547
406,10.39044617237681,382.840327770153
407,10.416038404328477,384.43000261877836
408,10.441630636280143,385.81440693534023
409,10.46722286823181,387.0853517690667
410,10.492815100183476,388.4528231050062
411,10.518407332135142,389.75462106672313
412,10.543999564086809,390.80503336985987
413,10.569591796038475,391.7987295046602
414,10.595184027990141,393.0167961738113
415,10.620776259941808,394.25432266583255
416,10.646368491893474,395.24389980696037
